School,Address,Rating,Type,Enrollment,Students per Teacher,,,,
Paint Branch High,"14121 Old Columbia Pike, Burtonsville, MD, 20866",5,H,2005,15,,,,
Richard Montgomery High,"250 Richard Montgomery Drive, Rockville, MD, 20852",5,H,2483,17,,,,
Sherwood High,"300 Olney-Sandy Spring Rd, Sandy Spring, MD, 20860",5,H,1973,17,,,,
James Hubert Blake High,"300 Norwood Road, Silver Spring, MD, 20905",5,H,1717,16,,,,
Quince Orchard High,"15800 Quince Orchard Road, Gaithersburg, MD, 20878",5,H,2100,16,,,,
Albert Einstein High,"11135 Newport Mill Road, Kensington, MD, 20895",4,H,1746,14,,,,
Col. Zadok Magruder High,"5939 Muncaster Mill Rd, Rockville, MD, 20855",4,H,1609,15,,,,
Montgomery Blair High,"51 University Boulevard East, Silver Spring, MD, 20901",4,H,3196,16,,,,
Rockville High,"2100 Baltimore Road, Rockville, MD, 20851",4,H,1450,14,,,,
Springbrook High,"201 Valleybrook Dr, Silver Spring, MD, 20904",4,H,1735,14,,,,
Wheaton High,"12401 Dalewood Drive, Silver Spring, MD, 20906",4,H,2077,15,,,,
Watkins Mill High,"10301 Apple Ridge Road, Gaithersburg, MD, 20886",4,H,1615,14,,,,
Northwood High School,"919 University Boulevard West, Silver Spring, MD, 20901",3,H,1732,14,,,,
Gaithersburg High,"101 Education Boulevard, Gaithersburg, MD, 20877",3,H,2352,13,,,,
John F. Kennedy High,"1901 Randolph Road, Silver Spring, MD, 20902",3,H,1781,14,,,,
Seneca Valley High,"19401 Crystal Rock Drive, Germantown, MD, 20874",3,H,1181,13,,,,
