Census 5-Digit ZCTA Code,Percent Non Hispanic White,Percent Non Hispanic Black,Percent non Hispanic Asian,Percent Hispanic
20838,93.4,1.5,0.4,0.8
20839,78.5,9.8,1.4,5.6
20841,38.6,13.8,35.3,9.0
20842,84.5,6.8,1.0,5.3
20850,52.8,10.1,23.5,10.2
20851,41.2,9.3,15.1,31.2
20852,59.1,6.5,19.7,11.8
20853,50.8,10.7,11.8,24.0
20854,69.0,4.5,18.2,5.5
20855,60.6,7.6,17.9,10.3
20860,57.0,23.3,9.9,5.8
20861,73.2,9.5,7.8,5.9
20862,83.7,3.8,5.2,4.4
20866,26.1,42.7,18.0,9.6
20868,46.2,23.8,15.9,10.0
20871,45.1,14.0,28.2,9.3
20872,72.1,7.6,5.2,12.2
20874,40.4,21.8,16.0,17.9
20876,33.5,21.9,20.4,20.3
20877,26.4,19.6,13.3,37.5
20878,53.0,9.1,23.1,11.7
20879,34.3,21.2,16.0,24.4
20880,87.6,0.9,7.6,3.3
20882,77.1,6.5,6.1,7.5
20886,37.7,23.5,10.8,24.4
20895,73.7,6.3,5.9,11.1
20896,88.0,1.2,3.1,5.0
20899,30.3,52.8,8.5,5.6
20901,43.1,23.3,7.8,22.6
20902,35.1,17.9,10.1,33.8
20903,12.1,27.5,10.0,47.9
20904,26.7,41.6,13.8,14.8
20905,45.3,22.9,17.4,10.6
20906,32.0,24.4,11.6,28.9
20910,48.3,27.9,7.1,13.1
20912,34.0,37.2,3.8,21.5
21001,61.7,26.2,2.6,4.8
21005,57.9,20.1,2.0,14.6
21009,77.5,12.5,3.7,3.8
21010,70.2,9.6,2.9,12.5
21012,87.1,4.4,2.4,3.8
21013,95.5,0.5,1.2,1.9
21014,88.9,4.0,2.3,3.0
21015,86.7,4.9,3.9,2.8
21017,61.4,24.7,3.8,6.2
21028,90.3,3.8,1.6,2.4
21029,63.1,5.9,25.5,2.4
21030,64.8,13.9,12.0,6.7
21031,100.0,0.0,0.0,0.0
21032,88.4,5.3,1.4,2.5
21034,92.4,3.3,0.4,1.7
21035,89.7,4.1,1.6,2.4
21036,81.5,4.4,8.5,3.5
21037,87.5,3.2,1.5,5.4
21040,46.4,41.1,1.7,6.7
21042,71.8,5.7,17.1,2.7
21043,58.3,11.3,23.2,4.2
21044,53.5,24.8,10.6,6.8
21045,46.1,28.5,10.2,10.9
21046,60.4,21.4,8.6,5.5
21047,93.4,1.7,1.9,1.8
21048,93.1,2.6,1.7,1.3
21050,92.1,2.8,1.6,2.0
21051,98.6,0.4,0.0,0.4
21052,97.4,0.0,0.7,1.3
21053,94.6,1.9,0.8,1.5
21054,80.9,8.3,4.3,3.8
